district,week,Latitude,Longitude,Acute Diarrhoeal Disease_proba_rf,Acute Diarrhoeal Disease_pred_rf,Acute Diarrhoeal Disease_proba_lr,Acute Diarrhoeal Disease_pred_lr,Acute Encephalitis Syndrome_proba_rf,Acute Encephalitis Syndrome_pred_rf,Acute Encephalitis Syndrome_proba_lr,Acute Encephalitis Syndrome_pred_lr,Acute Gastroenteritis_proba_rf,Acute Gastroenteritis_pred_rf,Acute Gastroenteritis_proba_lr,Acute Gastroenteritis_pred_lr,Chikungunya_proba_rf,Chikungunya_pred_rf,Chikungunya_proba_lr,Chikungunya_pred_lr,Cholera_proba_rf,Cholera_pred_rf,Cholera_proba_lr,Cholera_pred_lr,Dengue_proba_rf,Dengue_pred_rf,Dengue_proba_lr,Dengue_pred_lr,Malaria_proba_rf,Malaria_pred_rf,Malaria_proba_lr,Malaria_pred_lr,Acute Diarrhoeal Disease_alert,Acute Encephalitis Syndrome_alert,Acute Gastroenteritis_alert,Chikungunya_alert,Cholera_alert,Dengue_alert,Malaria_alert
Sagar,1970-01-01 00:00:00.000000044,23.80961225,78.75911361,0.3145219276919677,1,0.3877954335739473,0,0.9941608687851828,1,0.8548728693101532,1,0.981919510872915,1,0.9991937762142553,1,0.862781612394513,1,0.6008309090649788,1,0.8004914447460943,1,0.6183377094273338,1,0.8255943866922822,1,0.6434511985100392,1,0.44291050653933106,0,0.6527714488949975,1,Watch,Alert,Alert,Alert,Alert,Alert,Watch
Saharanpur,1970-01-01 00:00:00.000000038,29.9880774,77.50812995,0.4498858889430421,1,0.5458259970556995,1,0.8538052272700982,1,0.5293152462433226,1,0.9880783752644622,1,0.9484558151610955,1,0.8893640379783295,1,0.8639737577361521,1,0.9035313938088808,1,0.5351389280996056,1,0.46107867515244144,0,0.6138074817833492,1,0.10615095583064742,0,0.06956600601206542,0,Watch,Alert,Alert,Alert,Alert,Watch,Safe
Saharsa,1970-01-01 00:00:00.000000041,25.83264165,86.61489283,0.41147010151873703,1,0.5054559570128834,1,0.8726296228864042,1,0.6206895249533839,1,0.9837231085130091,1,0.9212606611086847,1,0.911728091047504,1,0.7884734149103566,1,0.6534478641745736,1,0.4987016094211809,0,0.8652357469430145,1,0.6397915555578232,1,0.8023823072444897,1,0.43140122968382744,0,Watch,Alert,Alert,Alert,Alert,Alert,Alert
Sahebganj,1970-01-01 00:00:00.000000046,25.244263,87.6348084,0.2531056805749018,0,0.48777143986459426,0,0.9358496639742032,1,0.19905351947312033,0,0.9955800200925463,1,0.9976681955701678,1,0.8979993279587567,1,0.6713555506383773,1,0.8625195462392324,1,0.6069877962661435,1,0.296982793455199,0,0.6344508737422184,1,0.8637224490174916,1,0.5154346879634318,1,Safe,Alert,Alert,Alert,Alert,Safe,Alert
Salem,1970-01-01 00:00:00.000000049,11.0600516,77.0679581,0.36327910658154733,1,0.49722813143619754,0,0.98307109277748,1,0.869837380572161,1,0.9921120352911809,1,0.9897758850143845,1,0.15690692955492555,0,0.31032553293592624,0,0.8315707706336914,1,0.7278173480473759,1,0.29471227251609317,0,0.26531541014335747,0,0.9829394248836705,1,0.8871163688204735,1,Watch,Alert,Alert,Safe,Alert,Safe,Alert
Samastipur,1970-01-01 00:00:00.000000044,25.7744929,85.86626813,0.3592588523115303,1,0.4938842009626667,0,0.7442484461643657,1,0.4424705061664645,0,0.9735700334978535,1,0.9741968357767127,1,0.9328457256806711,1,0.7000813116454908,1,0.8710198203983431,1,0.5672618039730201,1,0.34314874680750507,0,0.627082948862611,1,0.7921568786856413,1,0.5099925806163734,1,Watch,Alert,Alert,Alert,Alert,Watch,Alert
Sambalpur,1970-01-01 00:00:00.000000036,21.4706422,83.9836858,0.40400403321009243,1,0.5049778707176653,1,0.9952317517152299,1,0.7685492299888591,1,0.9829037678911772,1,0.9557184294618334,1,0.9271933426999707,1,0.7050905627040082,1,0.7965675764656639,1,0.4958520478351752,0,0.7965256620929528,1,0.5667879428651175,1,0.5672784723888417,1,0.3451338817512715,0,Watch,Alert,Alert,Alert,Alert,Alert,Watch
Sangareddy,1970-01-01 00:00:00.000000044,17.86859205,77.82281995,0.3407949929837183,1,0.519799335729544,1,0.9911876485501483,1,0.9485261679589359,1,1.0,1,0.9859278608379887,1,0.4014692635310124,0,0.45930763011002695,0,0.9053259216100561,1,0.6437518469799159,1,0.17575710999219815,0,0.4655172166609689,0,0.9576974593531589,1,0.7101469377005356,1,Watch,Alert,Alert,Watch,Alert,Safe,Alert
Sangli,1970-01-01 00:00:00.000000051,17.1726928,74.58676543,0.23534410166514358,0,0.42075713532776604,0,0.9969010886091475,1,0.9965323799162749,1,0.9881050153138551,1,0.9905763466289035,1,0.30735000653995836,0,0.3270387748178185,0,0.5694998544415328,1,0.4927935863018852,0,0.6952987527749717,1,0.5152682428447457,1,0.9598010564374994,1,0.8267176878696814,1,Safe,Alert,Alert,Watch,Watch,Alert,Alert
Sangrur,1970-01-01 00:00:00.000000038,30.2093363,75.81842243,0.3290138950501057,1,0.4507775401831752,0,0.9314852210028118,1,0.9026982974089213,1,0.9751148323756064,1,0.9548922964291284,1,0.9548197790521976,1,0.9069039902422525,1,0.4178427115828386,1,0.3143471359969827,0,0.7904564933442718,1,0.7380746008157536,1,0.8459023113151839,1,0.24283225153629448,0,Watch,Alert,Alert,Alert,Watch,Alert,Alert
